longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,facilities
-74.054332316878,4.648065634374,5,3,100.0,31,3,1,0.0,0,3750000,"['Ascensor', 'Canchas Deportivas', 'Cerca centro comercial', 'Citófono', 'Closet', 'Gimnasio', 'Instalación de gas', 'Shut de basura', 'Vista panorámica', 'Zona Infantil']"
-74.0635269,4.6402701,3,2,90.0,31,2,1,669900.0,2,3081000,"['Ascensor', 'Calentador', 'Cerca centro comercial', 'Citófono', 'Closet', 'Cocina Integral', 'Instalación de gas', 'Piso en Baldosa /  Mármol', 'Piso en Madera', 'Trans. Público cercano', 'Zona Residencial']"
-74.0630208,4.6436046,3,1,25.0,0,1,0,0.0,0,2300000,"['Acceso Pavimentado', 'Alcantarillado', 'Amoblado', 'Ascensor', 'Cocina Integral', 'Colegios / Universidades', 'Gimnasio', 'Parques cercanos', 'Sensor de movimiento', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de BBQ', 'Zonas Verdes']"
-74.068193677434,4.6218514143731,4,1,33.0,0,1,0,200000.0,9,1700000,"['Acceso Pavimentado', 'Ascensor', 'Balcón', 'Barra estilo americano', 'Cerca de Zona Urbana', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Con casa club', 'Gimnasio', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Sobre vía principal', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Zona Comercial', 'Zona de lavandería', 'Zona Residencial']"
-74.0532373,4.6900629,6,2,120.0,12,2,2,0.0,0,5300000,"['Caldera', 'Citófono', 'Colegios / Universidades', 'Estudio', 'Hall de Alcobas', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Patio', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de lavandería', 'Zona Residencial']"
-74.1673674,4.6949413,3,1,43.0,0,2,0,150000.0,0,1060000,"['Acceso Pavimentado', 'Alcantarillado', 'Ascensor', 'Cocina Integral', 'Colegios / Universidades', 'En condominio', 'Gimnasio', 'Parques cercanos', 'Piscina', 'Sensor de movimiento', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de BBQ', 'Zonas Verdes']"
-74.0473791,4.7773831,4,2,65.0,0,2,1,200000.0,7,1800000,"['Acceso Pavimentado', 'Alcantarillado', 'Ascensor', 'Cochera', 'Cocina Integral', 'Colegios / Universidades', 'Depósito / Bodega', 'Gimnasio', 'Parques cercanos', 'Piscina', 'Sensor de movimiento', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de BBQ', 'Zonas Verdes']"
-74.0503841,4.6663607,6,3,249.0,23,3,4,2000000.0,0,15000000,"['Ascensor', 'Caldera', 'Circuito cerrado de TV', 'Citófono', 'Cocina tipo Americano', 'Colegios / Universidades', 'Garaje(s)', 'Instalación de gas', 'Parques cercanos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería']"
-74.0740271,4.6230682,4,4,130.0,4,4,2,0.0,0,6000000,"['Ascensor', 'Baño Auxiliar', 'Baños comunales', 'Bombas de gasolina', 'Cerca a sector comercial', 'Cerca centro comercial', 'Cerca de Zona Urbana', 'Circuito cerrado de TV', 'Closet', 'Cocina Integral', 'Colegios / Universidades', 'Comedor', 'Cuarto de servicio', 'Cómodas vias de acceso', 'Depósito / Bodega', 'En conjunto cerrado', 'En zona residencial', 'Garaje Cubierto', 'Gimnasio', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Piso en Madera', 'Portería / Vigilancia', 'Salón Comunal', 'Salón de Juegos', 'Seguridad', 'Sobre vía secundaria', 'Terraza', 'Trans. Público cercano', 'Ventilación Natural', 'Vigilancia 24x7', 'Vigilancia privada 24*7', 'Vista panorámica', 'Zona de lavandería', 'Zona Residencial', 'Área Urbana']"
-74.0498679,4.7784934,3,1,45.0,0,2,0,0.0,9,1300000,"['Ascensor', 'Barra estilo americano', 'Calentador', 'Cocina Integral', 'Parqueadero Visitantes', 'Portería / Recepción', 'Salón Comunal', 'Vigilancia', 'Zona Residencial', 'Zonas Verdes']"
