longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,facilities
-74.0406767,4.729514,4,2,100.0,12,4,1,0.0,2,3000000,"['Ascensor', 'Calentador', 'Citófono', 'Cocina Integral', 'Colegios / Universidades', 'Depósito / Bodega', 'Estudio', 'Hall de Alcobas', 'Instalación de gas', 'Parques cercanos', 'Piso en Baldosa /  Mármol', 'Salón Comunal', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Residencial']"
-74.0499702,4.7038563,5,3,99.0,23,2,2,0.0,6,6500000,"['Ascensor', 'Baño Auxiliar', 'Calentador', 'Chimenea', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Colegios / Universidades', 'Depósito / Bodega', 'Garaje(s)', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Residencial']"
-74.0498679,4.7784934,4,1,46.0,0,2,0,0.0,3,1350000,"['Ascensor', 'Barra estilo americano', 'Calentador', 'Circuito cerrado de TV', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'En conjunto cerrado', 'Garaje(s)', 'Hall de Alcobas', 'Instalación de gas', 'Jardín', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
-74.0504035,4.6766527,6,2,60.0,12,1,1,0.0,5,4800000,"['Amoblado', 'Balcón', 'Baño Auxiliar', 'Baño Independiente', 'Circuito cerrado de TV', 'Citófono', 'Closet', 'Cocina Equipada', 'Cocina Integral', 'Colegios / Universidades', 'Estudio', 'Gimnasio', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Residencial']"
-74.0545146,4.6961165,6,2,73.0,23,2,2,900000.0,0,3000000,"['Bombas de gasolina', 'Cableado de Red', 'Calentador', 'Cerca a sector comercial', 'Cerca centro comercial', 'Cerca de Zona Urbana', 'Citófono', 'Closet', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Comedor', 'Cómodas vias de acceso', 'Garaje Cubierto', 'Instalación de gas', 'Parques cercanos', 'Portería / Recepción', 'Puerta de seguridad', 'Restaurantes', 'Servicios Públicos', 'Sobre vía principal', 'Sobre vía secundaria', 'Supermercados / C.Comerciales', 'Todos los Servicios', 'Trans. Público cercano', 'Ventilación Natural', 'Vigilancia 24x7', 'Vigilancia privada 24*7', 'Zona de lavandería', 'Zona Residencial', 'Árboles frutales']"
-74.0747102,4.5921609,2,1,42.0,4,1,0,0.0,0,2400000,"['Acceso Pavimentado', 'Aire Acondicionado', 'Alcantarillado', 'Amoblado', 'Ascensor', 'Balcón', 'Cocina Integral', 'Colegios / Universidades', 'Depósito / Bodega', 'Gimnasio', 'Parques cercanos', 'Sensor de movimiento', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de BBQ', 'Zonas Verdes']"
-74.058085900758,4.673694015794,5,2,77.0,31,1,1,950000.0,0,2650000,"['Amoblado', 'Ascensor', 'Calentador', 'Cerca centro comercial', 'Citófono', 'Closet', 'Cocina Equipada', 'Cocina Integral', 'Duplex', 'Trans. Público cercano', 'Zona Residencial']"
-74.0560724,4.6733272,6,5,178.0,4,3,2,1200000.0,4,20000000,"['Amoblado', 'Ascensor', 'Balcón', 'Barra estilo americano', 'Baño Auxiliar', 'Calentador', 'Chimenea', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Colegios / Universidades', 'Cuarto de Escoltas', 'Cuarto de servicio', 'Depósito / Bodega', 'Garaje(s)', 'Gimnasio', 'Instalación de gas', 'Jardín', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Salón Comunal', 'Salón de Juegos', 'Sauna / Turco / Jacuzzi', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vista panorámica', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial']"
-74.0684992,4.6085572,3,1,35.0,4,1,1,0.0,9,2500000,"['Ascensor', 'Circuito cerrado de TV', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'En conjunto cerrado', 'Garaje(s)', 'Instalación de gas', 'Loft', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Salón Comunal', 'Sobre vía principal', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Zona Comercial', 'Zona de lavandería', 'Zona Residencial']"
-74.1029244,4.701265,3,2,75.0,23,3,1,0.0,0,2000000,"['Balcón', 'Calentador', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Colegios / Universidades', 'En conjunto cerrado', 'Garaje(s)', 'Hall de Alcobas', 'Instalación de gas', 'Parques cercanos', 'Piso en Baldosa /  Mármol', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
-74.0297433,4.6998065,5,1,20.0,4,1,0,370000.0,4,1600000,"['Acceso Pavimentado', 'Alcantarillado', 'Amoblado', 'Colegios / Universidades', 'Parques cercanos', 'Sensor de movimiento', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zonas Verdes']"
-74.0844881,4.7457366,3,1,37.0,4,2,0,180000.0,0,1420000,"['Acceso Pavimentado', 'Alcantarillado', 'Ascensor', 'Cocina Integral', 'Colegios / Universidades', 'Gimnasio', 'Parques cercanos', 'Sensor de movimiento', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de BBQ', 'Zonas Verdes']"
-74.0452212,4.6782734,6,1,70.0,12,1,2,703882.0,2,4700000,"['Ascensor', 'Baño Auxiliar', 'Caldera', 'Citófono', 'Depósito / Bodega', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de lavandería']"
-74.073578902191,4.7315012037917,5,3,114.0,23,3,2,0.0,4,4000000,"['Ascensor', 'Balcón', 'Baño Auxiliar', 'Calentador', 'Canchas Deportivas', 'Citófono', 'Colegios / Universidades', 'Depósito / Bodega', 'En conjunto cerrado', 'Estudio', 'Garaje(s)', 'Gimnasio', 'Hall de Alcobas', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Portería / Recepción', 'Salón Comunal', 'Salón de Juegos', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
-74.1151322,4.7576919,3,2,50.0,4,3,0,0.0,16,1350000,"['Ascensor', 'Calentador', 'Circuito cerrado de TV', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'En conjunto cerrado', 'Gimnasio', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Piscina', 'Piso en Baldosa /  Mármol', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Vivienda Multifamiliar', 'Zona de lavandería', 'Zona Industrial', 'Zona Infantil', 'Zona Residencial']"
-74.0438282,4.6706042,6,1,52.0,31,1,1,450000.0,0,2650000,"['Acceso Pavimentado', 'Alcantarillado', 'Amoblado', 'Ascensor', 'Cochera', 'Cocina Integral', 'Colegios / Universidades', 'Parques cercanos', 'Sensor de movimiento', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zonas Verdes']"
-74.1159384,4.6473715,4,1,42.0,0,2,0,0.0,16,1600000,"['Ascensor', 'Barra estilo americano', 'Baño Auxiliar', 'Calentador', 'Canchas Deportivas', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'En conjunto cerrado', 'Gimnasio', 'Instalación de gas', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Piscina', 'Piso en Baldosa /  Mármol', 'Planta Eléctrica', 'Portería / Recepción', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Vista panorámica', 'Zona de lavandería', 'Zona Infantil', 'Zona Residencial', 'Zonas Verdes']"
