longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price
-74.0415726,4.7053572,6.0,4.0,130.0,31.0,3.0,2.0,997000.0,2.0,5100000.0
-74.089991,4.6101351,3.0,1.0,47.0,0.0,2.0,0.0,0.0,7.0,1250000.0
-74.1125051,4.6834203,3.0,1.0,60.0,23.0,2.0,1.0,0.0,1.0,1100000.0
-74.0494453,4.7268374,4.0,3.0,75.0,31.0,3.0,2.0,510020.0,5.0,2500000.0
-74.0899813,4.6094748,3.0,1.0,47.0,0.0,2.0,0.0,0.0,1.0,1250000.0
-74.0548233,4.7425876,5.0,4.0,157.0,4.0,3.0,2.0,0.0,6.0,6125000.0
-74.0971323,4.7092882,3.0,2.0,63.0,12.0,3.0,1.0,0.0,4.0,1900000.0
-74.066133,4.725355,5.0,3.0,89.0,12.0,3.0,1.0,0.0,2.0,2500000.0
-74.1413017,4.6531053,2.0,2.0,55.0,23.0,3.0,0.0,0.0,3.0,1100000.0
-74.0666203,4.7398645,4.0,4.0,107.0,12.0,3.0,2.0,0.0,5.0,2800000.0
-74.0562639,4.71274,3.0,1.0,48.0,23.0,2.0,0.0,0.0,4.0,1350000.0
-74.045941829681,4.6633883530818,6.0,4.0,286.0,31.0,3.0,2.0,0.0,7.0,13000000.0
-74.0452281,4.6819212,6.0,2.0,58.0,4.0,1.0,1.0,700000.0,10.0,3900000.0
-74.092101,4.7026688,4.0,2.0,58.0,23.0,2.0,1.0,0.0,2.0,2100000.0
-74.055383205414,4.6764340806237,6.0,3.0,150.0,0.0,2.0,2.0,0.0,3.0,10300000.0
-74.1479204,4.6487431,3.0,2.0,53.0,0.0,3.0,1.0,0.0,2.0,1450000.0
-74.064836015024,4.615192983586,4.0,3.0,135.0,31.0,3.0,1.0,0.0,0.0,4500000.0
-74.052990038904,4.652221088601,6.0,3.0,151.0,23.0,3.0,2.0,1300000.0,0.0,7000000.0
-74.066112041473,4.6216403999728,6.0,4.0,250.0,23.0,3.0,3.0,0.0,3.0,11000000.0
-74.0651852,4.6560399,6.0,2.0,95.0,23.0,2.0,2.0,0.0,2.0,4480000.0
-74.1660164,4.6817359,2.0,2.0,55.0,4.0,3.0,0.0,0.0,10.0,1000000.0
-74.0456641,4.7019923,6.0,2.0,90.0,23.0,2.0,2.0,0.0,2.0,3300000.0
-74.0510692,4.7020946,6.0,2.0,80.0,12.0,2.0,2.0,0.0,2.0,4300000.0
-74.042594432831,4.6760919007062,6.0,2.0,138.0,23.0,1.0,1.0,0.0,3.0,5000000.0
-74.046177864075,4.6301687748942,4.0,1.0,35.0,31.0,1.0,1.0,0.0,0.0,1600000.0
-74.0574305,4.7458119,3.0,2.0,65.0,4.0,3.0,1.0,241000.0,0.0,2250000.0
-74.1371884,4.6661698,3.0,2.0,72.0,4.0,3.0,1.0,0.0,5.0,1900000.0
-74.0644009,4.6992238,5.0,3.0,100.0,23.0,3.0,2.0,635000.0,2.0,3800000.0
-74.049322425206,4.674454276135,6.0,4.0,145.0,31.0,3.0,1.0,0.0,0.0,4500000.0
-74.0359789,4.6865482,5.0,2.0,70.0,4.0,2.0,1.0,0.0,2.0,4400000.0
-74.0505305,4.6793933,6.0,4.0,170.0,31.0,5.0,3.0,0.0,2.0,10500000.0
-74.042129,4.7290804,4.0,2.0,92.0,23.0,3.0,1.0,0.0,6.0,3400000.0
-74.1130038,4.6638843,5.0,2.0,90.0,12.0,3.0,2.0,0.0,3.0,4200000.0
-74.0510107955398,4.68029936217802,6.0,3.0,117.0,0.0,2.0,3.0,1000000.0,5.0,7400000.0
-74.0472516,4.7160416,5.0,3.0,160.0,23.0,3.0,2.0,0.0,5.0,4800000.0
-74.043916479029,4.7000749305293,6.0,4.0,214.0,4.0,3.0,2.0,1300000.0,3.0,8000000.0
-74.116527,4.5883347,3.0,2.0,66.0,12.0,3.0,1.0,0.0,0.0,1700000.0
-74.1340604,4.6560597,2.0,1.0,34.0,0.0,2.0,0.0,121900.0,0.0,1178100.0
-74.1339744,4.6605845,4.0,1.0,39.0,0.0,2.0,0.0,170000.0,0.0,1430000.0
-74.1585113,4.601518,3.0,2.0,55.0,4.0,2.0,1.0,0.0,2.0,1020000.0
-74.068880081177,4.6462788350469,4.0,2.0,60.0,4.0,2.0,0.0,0.0,4.0,2000000.0
-74.0705648,4.602264,4.0,1.0,27.0,0.0,1.0,0.0,150000.0,0.0,1600000.0
-74.153805,4.6421973,3.0,2.0,72.0,4.0,3.0,1.0,250000.0,0.0,2100000.0
-74.0451615,4.7266986,4.0,2.0,70.0,12.0,2.0,1.0,0.0,7.0,2800000.0
-74.0704705,4.704775,5.0,2.0,95.0,23.0,3.0,2.0,0.0,9.0,3500000.0
-74.0832715,4.6119038,3.0,1.0,32.0,4.0,2.0,0.0,0.0,13.0,1300000.0
-74.0540174,4.6926722,6.0,4.0,170.0,23.0,3.0,2.0,0.0,7.0,6000000.0
-74.1510958,4.6839277,3.0,1.0,80.0,23.0,2.0,1.0,0.0,0.0,1000000.0
-74.0494213,4.7673995,3.0,2.0,57.0,23.0,3.0,1.0,0.0,2.0,1700000.0
-74.0435167035522,4.69238776289159,6.0,3.0,115.0,12.0,2.0,2.0,0.0,1.0,5400000.0
-74.0675494,4.6212617,4.0,2.0,47.0,4.0,1.0,1.0,0.0,13.0,2700000.0
-74.052,4.656,6.0,3.0,120.0,23.0,3.0,2.0,1274000.0,2.0,3400000.0
-74.0358208,4.6949558,6.0,4.0,110.0,23.0,3.0,2.0,0.0,0.0,4500000.0
-74.0839253,4.7293037,6.0,5.0,180.0,0.0,4.0,3.0,0.0,3.0,8500000.0
-74.1577599,4.5925382,2.0,1.0,54.0,12.0,2.0,1.0,0.0,12.0,1200000.0
-74.051300260083,4.6688967114,6.0,2.0,100.0,31.0,2.0,2.0,0.0,3.0,4900000.0
-74.0787176,4.7232507,6.0,5.0,270.0,12.0,3.0,4.0,0.0,3.0,11000000.0
-74.0362015,4.6881684,5.0,2.0,60.0,4.0,1.0,1.0,0.0,0.0,2300000.0
-74.0856843,4.6286406,4.0,1.0,26.0,0.0,1.0,0.0,192000.0,0.0,1670000.0
-74.1522266,4.6775754,3.0,1.0,70.0,4.0,3.0,0.0,204000.0,0.0,1390000.0
-74.1339756,4.6609837,3.0,1.0,45.0,0.0,2.0,0.0,0.0,10.0,1500000.0
-74.0412468,4.6758101,6.0,4.0,320.0,23.0,3.0,3.0,4300000.0,0.0,16100000.0
-74.0506005,4.6503642,6.0,3.0,105.0,12.0,2.0,2.0,1100000.0,2.0,5900000.0
-74.0671772,4.6370452,3.0,1.0,37.0,23.0,1.0,0.0,0.0,5.0,1450000.0
-74.1158523,4.6631297,4.0,2.0,106.0,31.0,3.0,2.0,0.0,3.0,3650000.0
-74.1340604,4.6560597,3.0,1.0,39.0,0.0,1.0,0.0,125000.0,0.0,1104000.0
-74.0409594,4.6688847,6.0,4.0,344.0,31.0,4.0,3.0,0.0,16.0,25000000.0
-74.049499068787,4.7790607709365,3.0,1.0,46.0,31.0,2.0,0.0,0.0,7.0,1450000.0
,,,,,,,,,,
-74.0490606,4.6564623,6.0,1.0,40.0,12.0,1.0,2.0,0.0,0.0,2500000.0
-74.04390294165,4.6980763496479,6.0,3.0,149.0,23.0,3.0,2.0,0.0,4.0,5600000.0
-74.0487393,4.6614037,6.0,3.0,289.0,31.0,3.0,5.0,0.0,4.0,23000000.0
-74.0499047,4.6931032,6.0,3.0,94.0,31.0,2.0,1.0,956600.0,1.0,2043400.0
-74.0548256,4.69793,6.0,2.0,67.0,23.0,1.0,1.0,0.0,2.0,2500000.0
-74.0475172,4.7116191,6.0,2.0,82.0,23.0,3.0,1.0,0.0,4.0,2500000.0
-74.0511718,4.7146023,4.0,4.0,115.0,31.0,3.0,2.0,0.0,2.0,4000000.0
-74.04683,4.67109,6.0,3.0,200.0,23.0,2.0,2.0,1700000.0,4.0,16300000.0
-74.1674301,4.6957755,3.0,2.0,45.0,4.0,3.0,0.0,143400.0,1.0,850000.0
-74.1081919,4.6149968,3.0,2.0,95.0,31.0,4.0,0.0,0.0,3.0,1600000.0
-74.0928937,4.6858752,3.0,2.0,146.0,12.0,3.0,1.0,0.0,1.0,1800000.0
-74.025,4.746,4.0,2.0,88.0,4.0,3.0,2.0,0.0,0.0,2700000.0
